,participant,trial no.,actual control,angular bias,response,group,dim
42,K-Reg-H-13,43,0.55,90,0,H,0.2842055117993111
43,K-Reg-H-13,44,0.55,90,0,H,0.20347755866675815
44,K-Reg-H-13,45,0.3,90,0,H,0.3902454217065912
45,K-Reg-H-13,46,0.55,0,1,H,0.25012159790605426
46,K-Reg-H-13,47,0.55,0,1,H,0.22667562396259347
47,K-Reg-H-13,48,0.3,0,0,H,0.37033697626487755
48,K-Reg-H-13,49,0.55,90,0,H,0.21353007955169886
49,K-Reg-H-13,50,0.3,90,0,H,0.26230181795906654
50,K-Reg-H-13,51,0.55,90,0,H,0.2504714700180625
51,K-Reg-H-13,52,0.3,90,0,H,0.24566842471759798
52,K-Reg-H-13,53,0.3,0,0,H,0.2517321976652083
53,K-Reg-H-13,54,0.3,90,0,H,0.24446871348214327
54,K-Reg-H-13,55,0.8,90,0,H,0.2238744253376573
55,K-Reg-H-13,56,0.55,90,0,H,0.21968093774897324
56,K-Reg-H-13,57,0.3,90,0,H,0.2275844295609081
57,K-Reg-H-13,58,0.55,90,0,H,0.23717322027352714
58,K-Reg-H-13,59,0.8,0,1,H,0.2988671570940898
59,K-Reg-H-13,60,0.55,0,1,H,0.23438194932999837
0,K-Reg-H-14,1,0.55,0,1,H,0.28953513601542136
1,K-Reg-H-14,2,0.8,90,0,H,0.25367423280977974
2,K-Reg-H-14,3,0.8,90,0,H,0.2628584616357368
3,K-Reg-H-14,4,0.3,90,0,H,0.2580443752013189
4,K-Reg-H-14,5,0.3,90,1,H,0.18480447961261898
5,K-Reg-H-14,6,0.8,90,0,H,0.2466776238458236
6,K-Reg-H-14,7,0.8,90,0,H,0.2681834951006891
7,K-Reg-H-14,8,0.8,0,1,H,0.2669977583531404
8,K-Reg-H-14,9,0.3,90,0,H,0.22388822914363862
9,K-Reg-H-14,10,0.3,90,1,H,0.2744811428686567
10,K-Reg-H-14,11,0.3,0,0,H,0.2567379022131934
11,K-Reg-H-14,12,0.55,90,0,H,0.2213312245679243
12,K-Reg-H-14,13,0.3,0,0,H,0.2706636707233262
13,K-Reg-H-14,14,0.3,0,1,H,0.2250507885910522
14,K-Reg-H-14,15,0.55,0,1,H,0.24339603939233792
15,K-Reg-H-14,16,0.3,90,0,H,0.2338074575129843
16,K-Reg-H-14,17,0.8,0,1,H,0.24012672052216297
17,K-Reg-H-14,18,0.8,0,1,H,0.3239497781630465
18,K-Reg-H-14,19,0.8,0,1,H,0.2978255650951112
19,K-Reg-H-14,20,0.3,90,0,H,0.2254151294323927
20,K-Reg-H-14,21,0.8,0,1,H,0.2615385998441926
21,K-Reg-H-14,22,0.55,90,0,H,0.23022780767508708
22,K-Reg-H-14,23,0.8,90,0,H,0.27782047990206415
23,K-Reg-H-14,24,0.3,0,0,H,0.28246310919963735
24,K-Reg-H-14,25,0.55,90,0,H,0.2695227504846522
25,K-Reg-H-14,26,0.8,0,1,H,0.27727635143658697
26,K-Reg-H-14,27,0.3,0,0,H,0.22026049987755458
27,K-Reg-H-14,28,0.8,90,0,H,0.19563754925938298
28,K-Reg-H-14,29,0.55,0,1,H,0.2638540202774356
29,K-Reg-H-14,30,0.55,0,1,H,0.24836474235438857
30,K-Reg-H-14,31,0.3,90,0,H,0.252649601610188
31,K-Reg-H-14,32,0.55,0,1,H,0.2550023331701166
32,K-Reg-H-14,33,0.3,90,0,H,0.2010351474435374
33,K-Reg-H-14,34,0.55,0,1,H,0.21769807336392585
34,K-Reg-H-14,35,0.55,0,1,H,0.2738014944278036
35,K-Reg-H-14,36,0.3,0,0,H,0.2605942161132176
36,K-Reg-H-14,37,0.55,90,0,H,0.2777064069323668
37,K-Reg-H-14,38,0.8,90,0,H,0.2628408462566543
38,K-Reg-H-14,39,0.55,0,1,H,0.23705952579017592
39,K-Reg-H-14,40,0.3,0,0,H,0.32909020134807415
40,K-Reg-H-14,41,0.3,90,0,H,0.33388873672930874
41,K-Reg-H-14,42,0.55,90,0,H,0.3108223156129783
42,K-Reg-H-14,43,0.55,90,0,H,0.2860537903986377
43,K-Reg-H-14,44,0.8,0,1,H,0.2297872088339297
44,K-Reg-H-14,45,0.8,90,0,H,0.3628927728616739
45,K-Reg-H-14,46,0.55,90,0,H,0.3393614981889164
46,K-Reg-H-14,47,0.55,0,1,H,0.24101675413199314
47,K-Reg-H-14,48,0.8,0,1,H,0.2752489733154814
48,K-Reg-H-14,49,0.55,0,1,H,0.3385945836051455
49,K-Reg-H-14,50,0.8,90,0,H,0.35486562618798095
50,K-Reg-H-14,51,0.8,90,0,H,0.2724430859658509
51,K-Reg-H-14,52,0.3,0,0,H,0.31185661221803884
52,K-Reg-H-14,53,0.55,90,0,H,0.3136685270163316
53,K-Reg-H-14,54,0.55,90,0,H,0.29213080400512165
54,K-Reg-H-14,55,0.3,0,0,H,0.28062375539034307
55,K-Reg-H-14,56,0.55,90,0,H,0.24605389175428266
56,K-Reg-H-14,57,0.3,90,0,H,0.28532583123394745
57,K-Reg-H-14,58,0.3,0,0,H,0.3041152510463846
58,K-Reg-H-14,59,0.8,0,1,H,0.25368760716181027
59,K-Reg-H-14,60,0.8,0,1,H,0.22671404208631696
0,K-Reg-H-15,1,0.8,0,1,H,0.21686419247963473
1,K-Reg-H-15,2,0.3,0,1,H,0.2902683956592426
2,K-Reg-H-15,3,0.55,0,1,H,0.32832103938612217
3,K-Reg-H-15,4,0.3,90,0,H,0.21532631498802637
4,K-Reg-H-15,5,0.3,0,0,H,0.2431161511897259
5,K-Reg-H-15,6,0.55,0,0,H,0.2516459561446289
6,K-Reg-H-15,7,0.8,90,1,H,0.30402414165963126
7,K-Reg-H-15,8,0.55,0,0,H,0.26501418366292784
8,K-Reg-H-15,9,0.3,90,0,H,0.28805964302105685
9,K-Reg-H-15,10,0.55,90,0,H,0.3022638324400598
10,K-Reg-H-15,11,0.55,0,1,H,0.27448824309109027
11,K-Reg-H-15,12,0.55,0,1,H,0.23436545738114167
12,K-Reg-H-15,13,0.8,0,1,H,0.24401531677445717
13,K-Reg-H-15,14,0.8,90,0,H,0.23212266664639827
14,K-Reg-H-15,15,0.8,0,1,H,0.21500041025795671
15,K-Reg-H-15,16,0.8,0,1,H,0.23858513388624383
16,K-Reg-H-15,17,0.8,0,1,H,0.21410195744728286
17,K-Reg-H-15,18,0.3,0,0,H,0.41535602123166315
18,K-Reg-H-15,19,0.55,90,0,H,0.273016375324662
19,K-Reg-H-15,20,0.55,0,1,H,0.32031577005250705
20,K-Reg-H-15,21,0.55,90,0,H,0.3008873568704124
21,K-Reg-H-15,22,0.55,90,0,H,0.37143676874964804
22,K-Reg-H-15,23,0.3,0,0,H,0.3282176507287057
23,K-Reg-H-15,24,0.55,90,1,H,0.2058095381483303
24,K-Reg-H-15,25,0.8,90,1,H,0.34059872121748747
25,K-Reg-H-15,26,0.3,0,0,H,0.261547163590584
26,K-Reg-H-15,27,0.3,0,0,H,0.23194244983804838
27,K-Reg-H-15,28,0.55,0,1,H,0.24650656021811473
28,K-Reg-H-15,29,0.55,90,1,H,0.2325653511593327
29,K-Reg-H-15,30,0.3,90,0,H,0.3131706313146485
30,K-Reg-H-15,31,0.8,90,0,H,0.23946404103666527
31,K-Reg-H-15,32,0.3,0,1,H,0.37956940796579003
32,K-Reg-H-15,33,0.3,90,0,H,0.2409956450144189
33,K-Reg-H-15,34,0.3,0,0,H,0.3477769025362612
34,K-Reg-H-15,35,0.3,0,0,H,0.45495000139256625
35,K-Reg-H-15,36,0.8,0,1,H,0.3457343955561562
36,K-Reg-H-15,37,0.8,90,0,H,0.27005604463338434
37,K-Reg-H-15,38,0.3,90,0,H,0.2932660405633883
38,K-Reg-H-15,39,0.8,90,1,H,0.31744064972241887
39,K-Reg-H-15,40,0.55,0,0,H,0.192233118406351
40,K-Reg-H-15,41,0.8,0,1,H,0.3104888364502742
41,K-Reg-H-15,42,0.3,90,0,H,0.2607668956082749
42,K-Reg-H-15,43,0.3,90,0,H,0.30428182362055894
43,K-Reg-H-15,44,0.8,0,1,H,0.3039190147437116
44,K-Reg-H-15,45,0.8,0,0,H,0.30668013335650113
45,K-Reg-H-15,46,0.8,90,1,H,0.2872661768170996
46,K-Reg-H-15,47,0.8,90,1,H,0.2693969155603462
47,K-Reg-H-15,48,0.55,90,1,H,0.3864650704836628
48,K-Reg-H-15,49,0.3,0,1,H,0.3629882427889584
49,K-Reg-H-15,50,0.3,90,0,H,0.27245300753495105
50,K-Reg-H-15,51,0.3,90,0,H,0.3165196526316204
51,K-Reg-H-15,52,0.8,90,1,H,0.3749530152378166
52,K-Reg-H-15,53,0.55,90,1,H,0.31429901806019134
53,K-Reg-H-15,54,0.8,90,1,H,0.21238237419025668
54,K-Reg-H-15,55,0.55,90,0,H,0.3428681272062441
55,K-Reg-H-15,56,0.55,0,0,H,0.2735292164636255
56,K-Reg-H-15,57,0.3,90,0,H,0.35231583345581047
57,K-Reg-H-15,58,0.8,0,1,H,0.2599865222554703
58,K-Reg-H-15,59,0.55,90,1,H,0.3451599354238546
59,K-Reg-H-15,60,0.55,0,1,H,0.261235542317516
0,K-Reg-H-16,1,0.8,0,1,H,0.2717423389891008
1,K-Reg-H-16,2,0.3,0,0,H,0.41768748615814677
2,K-Reg-H-16,3,0.55,0,1,H,0.3333763155840458
3,K-Reg-H-16,4,0.55,0,1,H,0.28078952274522495
4,K-Reg-H-16,5,0.55,90,0,H,0.4193343611875339
5,K-Reg-H-16,6,0.8,90,0,H,0.4883561942666168
6,K-Reg-H-16,7,0.8,90,0,H,0.3800792292250842
7,K-Reg-H-16,8,0.8,90,0,H,0.3722846735757971
8,K-Reg-H-16,9,0.8,90,0,H,0.30858139892558645
9,K-Reg-H-16,10,0.8,0,1,H,0.24924848138630828
10,K-Reg-H-16,11,0.8,0,1,H,0.32389478398017124
11,K-Reg-H-16,12,0.3,0,1,H,0.26744704239270467
12,K-Reg-H-16,13,0.8,90,0,H,0.35593386428329726
13,K-Reg-H-16,14,0.55,0,1,H,0.27037822167139053
14,K-Reg-H-16,15,0.8,90,0,H,0.3433071519113096
15,K-Reg-H-16,16,0.3,0,1,H,0.505103683125482
16,K-Reg-H-16,17,0.3,90,0,H,0.3559046939700956
17,K-Reg-H-16,18,0.3,0,1,H,0.3556125978242036
18,K-Reg-H-16,19,0.3,0,1,H,0.4371165153769677
19,K-Reg-H-16,20,0.3,90,0,H,0.434285312748765
20,K-Reg-H-16,21,0.3,90,0,H,0.3951776208481988
21,K-Reg-H-16,22,0.3,90,0,H,0.2589560754882373
22,K-Reg-H-16,23,0.3,0,1,H,0.3404249380101816
23,K-Reg-H-16,24,0.55,90,0,H,0.38810039500243093
24,K-Reg-H-16,25,0.3,90,0,H,0.2567263985128891
25,K-Reg-H-16,26,0.8,90,0,H,0.241453264911943
26,K-Reg-H-16,27,0.55,0,1,H,0.2501971762994792
27,K-Reg-H-16,28,0.55,90,0,H,0.23621401433684794
28,K-Reg-H-16,29,0.55,90,0,H,0.30111190258077564
29,K-Reg-H-16,30,0.55,90,0,H,0.29661373777199734
30,K-Reg-H-16,31,0.8,90,0,H,0.34358803418893896
31,K-Reg-H-16,32,0.55,0,1,H,0.2702664120755578
32,K-Reg-H-16,33,0.3,90,0,H,0.3615143911982052
33,K-Reg-H-16,34,0.8,0,1,H,0.2738112033315674
34,K-Reg-H-16,35,0.8,0,1,H,0.2734817818612168
35,K-Reg-H-16,36,0.55,0,1,H,0.26460100151917654
36,K-Reg-H-16,37,0.8,90,0,H,0.2738929113232836
37,K-Reg-H-16,38,0.8,90,0,H,0.29763154004388076
38,K-Reg-H-16,39,0.55,0,1,H,0.23957341331071763
39,K-Reg-H-16,40,0.8,0,1,H,0.30165640994925985
40,K-Reg-H-16,41,0.8,0,1,H,0.3191507686648566
41,K-Reg-H-16,42,0.55,90,0,H,0.3533998485016008
42,K-Reg-H-16,43,0.55,0,1,H,0.44018428567244355
43,K-Reg-H-16,44,0.3,0,1,H,0.42775616895172147
44,K-Reg-H-16,45,0.3,90,0,H,0.43435510310895037
45,K-Reg-H-16,46,0.55,90,0,H,0.2483931576299463
46,K-Reg-H-16,47,0.3,0,1,H,0.33530045721819024
47,K-Reg-H-16,48,0.55,90,0,H,0.2927671185226161
48,K-Reg-H-16,49,0.3,90,0,H,0.4876800184828419
49,K-Reg-H-16,50,0.3,90,0,H,0.3924457615119243
50,K-Reg-H-16,51,0.55,0,1,H,0.3098012659116062
51,K-Reg-H-16,52,0.8,0,1,H,0.25168342703129243
52,K-Reg-H-16,53,0.8,0,1,H,0.30450664830851026
53,K-Reg-H-16,54,0.3,0,1,H,0.35370365271898463
54,K-Reg-H-16,55,0.55,90,0,H,0.3630127033531854
55,K-Reg-H-16,56,0.3,90,0,H,0.4407038733715734
56,K-Reg-H-16,57,0.8,0,1,H,0.2707095930570645
57,K-Reg-H-16,58,0.3,0,1,H,0.5371511885424182
58,K-Reg-H-16,59,0.55,0,1,H,0.30317625737455905
59,K-Reg-H-16,60,0.55,90,0,H,0.36447178568116495
0,K-Reg-H-17,1,0.3,0,0,H,0.270629198371885
1,K-Reg-H-17,2,0.3,0,0,H,0.2577129716067203
