group,participant,H,H,H,H,H,H,S,S,S,S,S,S
actual control,,0.3,0.3,0.55,0.55,0.8,0.8,0.3,0.3,0.55,0.55,0.8,0.8
angular bias,,0,90,0,90,0,90,0,90,0,90,0,90
20,K-Reg-H-5,0.28718123587909905,0.29736010593681544,0.2561538438136622,0.2858521182163331,0.24712653673131751,0.2625387391119941,,,,,,
21,K-Reg-H-6,0.27374696995199127,0.299986130119099,0.2965995395344872,0.30350794992544283,0.2725087912177174,0.31549993460450987,,,,,,
22,K-Reg-H-7,0.3240633513190759,0.2930531044574153,0.30939005607258907,0.2814167433281406,0.24535169749588462,0.2992249228505832,,,,,,
23,K-Reg-H-8,0.3106664801292979,0.26628874843178535,0.2411151379622612,0.27268346778906155,0.2044029851518935,0.25313727335718234,,,,,,
24,K-Reg-H-9,0.32279564943471684,0.280334099604344,0.27421268665019805,0.2904979627263393,0.2648083479099205,0.2832358002296236,,,,,,
25,K-Reg-S-1,,,,,,,0.2397208241143995,0.24513917487374753,0.22555886624601257,0.2529155747323307,0.23729557269435048,0.23987548016692792
26,K-Reg-S-10,,,,,,,0.2211855526088279,0.22474937886291774,0.23340370144233344,0.2352774587268251,0.2761907329611274,0.22686660255408767
27,K-Reg-S-11,,,,,,,0.4290504578058038,0.42713207668655323,0.4595047397217867,0.4459037895034535,0.4568016835575584,0.3960665341093564
28,K-Reg-S-12,,,,,,,0.2565512817822188,0.2672393598518031,0.3049735404067053,0.2654146506914874,0.28506708531630603,0.25642119643864764
29,K-Reg-S-13,,,,,,,0.3068422393599509,0.3093541271408313,0.29232785280553963,0.2809280936637287,0.31800721865703274,0.266573043987106
30,K-Reg-S-14,,,,,,,0.2926480531828012,0.2992513544072199,0.32017462821358383,0.30170168985920726,0.32128913171753093,0.3087069019608092
31,K-Reg-S-15,,,,,,,0.2769011233024049,0.3103001071674933,0.3241405325261507,0.3215028971202322,0.32399418993219026,0.34027374544217254
32,K-Reg-S-16,,,,,,,0.2521437338557912,0.24728667488712777,0.252017994370061,0.2492919990139213,0.2526869246769137,0.2556573303260776
33,K-Reg-S-17,,,,,,,0.24033622630481705,0.2982748781033292,0.2578027520314403,0.2341356896001204,0.25632450130213735,0.2522542054588145
34,K-Reg-S-18,,,,,,,0.2460968268856413,0.24498709304774882,0.23327917728148514,0.23750064423641448,0.23483404242187794,0.27547876976855995
35,K-Reg-S-19,,,,,,,0.2989329371787356,0.3712651393631137,0.2585604213079246,0.3533924234193531,0.2219546490374197,0.33611469092733337
36,K-Reg-S-2,,,,,,,0.23364052617251096,0.21756051761694734,0.24073525561107875,0.2238847014161085,0.22819931143034208,0.20202675481845658
37,K-Reg-S-20,,,,,,,0.3210550631637865,0.298063620691807,0.3534006273010261,0.36833251714570453,0.3542231008117108,0.3597469786558999
38,K-Reg-S-21,,,,,,,0.2367212799181396,0.21348403984878334,0.2621272256252564,0.20429246539378676,0.26981053413795547,0.19760542048938373
39,K-Reg-S-3,,,,,,,0.36538398073490874,0.35436572170342523,0.37223337513928123,0.40388313132575676,0.4052945423706732,0.40716149019545256
40,K-Reg-S-4,,,,,,,0.3591503479753081,0.3625301624345169,0.3758641042791732,0.3550163662809246,0.40319808172485183,0.3873665587398793
41,K-Reg-S-6,,,,,,,0.37933541158913664,0.36841980842618227,0.3999407069452696,0.3618184556105931,0.347170825590279,0.36844163586554335
42,K-Reg-S-7,,,,,,,0.3512317492027588,0.336024386901209,0.36305866611820636,0.35667440209353046,0.37530805019660485,0.37846992445982347
